Project,"Link to project",Category,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Enerverter Project Aztec",https://arena.gov.au/projects/enerverter-project-aztec/,"Distributed energy resources",$700k,$1.55m,ResTech,"Advancing Renewables Program",21/06/2018,"New South Wales, Newcastle","Ampcontrol, Muswellbrook Shire Council, Aurecon",Past
"Battery Storage System Performance Standard",https://arena.gov.au/projects/battery-storage-system-performance-standard/,"Battery storage",$1.44m,$3.16m,"DNV-GL Australia Pty Ltd","Advancing Renewables Program",21/06/2018,"Melbourne, Victoria","Commonwealth Scientific and Industrial Research Organisation (CSIRO), Smart Energy Council, Deakin University, The State of Victoria as represented by the Department of Environment, Land, Water and Planning",Past
"Repurposing the Tarraleah Hydropower Scheme",https://arena.gov.au/projects/repurposing-the-tarraleah-hydropower-scheme/,"Hydropower / Pumped Hydro Energy Storage",$2.5m,$5m,"Hydro Tasmania","Advancing Renewables Program",18/06/2018,Tasmania,None,Past
"Hardwood Residue Bio-Refinery Feasibility Study",https://arena.gov.au/projects/hardwood-residue-bio-refinery-feasibility-study/,"Bioenergy / Energy from waste",$500k,$1.2m,"Boral Timber","Advancing Renewables Program",13/06/2018,"New South Wales",None,Past
"Technology Collaboration Program for Demand Side Management",https://arena.gov.au/projects/technology-collaboration-program-for-demand-side-management/,"Distributed energy resources",$501k,$1.1m,"Monash University","International Engagement Program",05/06/2018,Victoria,None,Past
"NSW Schools Energy Productivity Program (SEPP) Pilot",https://arena.gov.au/projects/nsw-schools-energy-productivity-program-sepp-pilot/,"Solar energy",$500k,$1.1m,"ERM Power","Advancing Renewables Program",01/06/2018,"New South Wales","Schools Infrastructure NSW",Past
"Bioenergy Australia Participation in the IEA TCP on Bioenergy",https://arena.gov.au/projects/bioenergy-australia-participation-in-the-iea-tcp-on-bioenergy/,"Bioenergy / Energy from waste",$885k,$2.17m,"Bioenergy Australia","International Engagement Program",29/05/2018,"Australian Capital Territory, Canberra",None,Past
"Cultana Pumped Hydro Energy Storage Phase 2",https://arena.gov.au/projects/cultana-pumped-hydro-energy-storage-phase-2/,"Hydropower / Pumped Hydro Energy Storage",$500k,$9m,"Energy Australia Development Pty Ltd","Advancing Renewables Program",24/05/2018,"Cultana, South Australia",ARUP,Past
"BioDICE Feasibility Study",https://arena.gov.au/projects/biodice-feasibility-study/,"Bioenergy / Energy from waste",$432k,$881k,CSIRO,"Advancing Renewables Program",10/05/2018,"Mayfield West, New South Wales",Forico,Past
"Smart Grids Innovation Challenge",https://arena.gov.au/projects/smart-grids-innovation-challenge/,"System security and reliability",$113k,$383k,CSIRO,"International Engagement Program",09/05/2018,"Mayfield West, New South Wales",None,Current
"Solar Power and Chemical Energy Systems",https://arena.gov.au/projects/solar-power-and-chemical-energy-systems/,"Concentrated solar thermal",$394k,$911k,CSIRO,"International Engagement Program",09/05/2018,"Mayfield West, New South Wales",None,Current
"Missions Innovation Challenge - Affordable Heating and Cooling",https://arena.gov.au/projects/missions-innovation-challenge-affordable-heating-and-cooling/,"Distributed energy resources",$37k,$99k,CSIRO,"International Engagement Program",09/05/2018,"Mayfield West, New South Wales","Buildings Alive, Switch Automation",Past
"Converting Sunlight Innovation Challenge",https://arena.gov.au/projects/converting-sunlight-innovation-challenge/,"Concentrated solar thermal",$354k,$1.91m,"University of Adelaide ","International Engagement Program",08/05/2018,"Adelaide, South Australia","ANU, Curtin University, Flinders University, QUT, University of Melbourne, UNSW, Arizona State University, DLR, Niigata University, Sandia National Laboratories",Current
"International Energy Agency Hydropower Technology Collaboration Program",https://arena.gov.au/projects/international-energy-agency-hydropower-technology-collaboration-program/,"Hydropower / Pumped Hydro Energy Storage",$280k,$610k,"Hydro Tasmania","International Engagement Program",07/05/2018,Tasmania,"Charles Sturt University, Kator Research Services, Entura",Past
"Mission Innovation Challenge ' Off-Grid Access to Electricity",https://arena.gov.au/projects/mission-innovation-challenge-off-grid-access-to-electricity/,"Battery storage",$228k,$433k,"The University of New South Wales","International Engagement Program",02/05/2018,"New South Wales, Victoria","IT Power Australia, GSES Pty Ltd, CSIRO",Current
"IEA Technology Collaboration Programme PV Power Systems",https://arena.gov.au/projects/international-energy-agency-technology-collaboration-programme-pv-power-systems/,"Solar energy",$668k,$1.33m,"Australian PV Institute","International Engagement Program",01/05/2018,"Kensington, New South Wales","University of New South Wales, Ekistica, Sunwiz",Current
"IEA Technology Collaboration Programme - Solar Heating and Cooling",https://arena.gov.au/projects/iea-technology-collaboration-programme-solar-heating-and-cooling/,"Renewables in buildings",$383k,$738k,"Australian PV Institute","International Engagement Program",27/04/2018,"Kensington, New South Wales","University of New South Wales, Sustainable Energy Transformation",Current
"Promoting Hydrogen Implementation and Utilization",https://arena.gov.au/projects/promoting-hydrogen-implementation-and-utilization/,"Hydrogen energy",$494k,$1.23m,"Australian Association for Hydrogen Energy","International Engagement Program",18/04/2018,"Bentley, Western Australia",None,Current
"ATCO Hydrogen Microgrid",https://arena.gov.au/projects/atco-hydrogen-microgrid/,"Hydrogen energy",$1.79m,$3.53m,ATCO,"Advancing Renewables Program",06/04/2018,"Jandakot, Western Australia",None,Past
"Open Source Grid Integration Model for the National Electricity Market",https://arena.gov.au/projects/open-source-grid-integration-model/,"Renewables for industry",$624k,$2.42m,"IT Renewables","Advancing Renewables Program",06/04/2018,"Australian Capital Territory","United States Strategic Energy Analysis Center of the National Renewable Energy Laboratory, The Centre for Energy and Environmental Markets, University of New South Wales, Energy Transitions Hub, University of Melbourne, ThoughtWorks Australia Pty Ltd, New South Wales State Government, Victorian State Government, South Australian State Government ",Current
"Promoting Hydrogen Implementation and Utilization in Australia",https://arena.gov.au/projects/promoting-hydrogen-implementation-and-utilization-in-australia/,"Hydrogen energy",$494k,$1.23m,"Australian Association for Hydrogen Energy","International Engagement Program",01/04/2018,"New South Wales, Queensland, Tasmania, Western Australia",None,Current
"Ocean Energy Systems Technology Collaboration Program",https://arena.gov.au/projects/ocean-energy-systems-technology-collaboration-program/,"Ocean energy",$283k,$619k,CSIRO,"International Engagement Program",31/03/2018,National,"Climate-KIC, University of Adelaide, Swinburne University of Technology, UNSW, University of Tasmania, University of Western Australia",Current
"SOURCE Hydropanel Demonstration Project",https://arena.gov.au/projects/source-hydropanel-demonstration/,"Solar energy",$420k,$871k,"Zero Mass Water (Australia) Pty Ltd","Advancing Renewables Program",27/02/2018,"South Australia",None,Past
"Latrobe Valley Microgrid Feasibility Study",https://arena.gov.au/projects/latrobe-valley-microgrid-feasibility-study/,"Distributed energy resources",$370k,$775k,"LO3 Energy","Advancing Renewables Program",23/02/2018,"Latrobe Valley, Victoria",None,Past
"Tasmanian Pumped Hydro Energy Storage Opportunities Stage 2",https://arena.gov.au/projects/tasmanian-pumped-hydro-energy-storage-opportunities-stage-2/,"Hydropower / Pumped Hydro Energy Storage",$700k,$1.43m,"Hydro-Electric Corporation","Advancing Renewables Program",01/02/2018,Tasmania,None,Past
"Simply Energy Virtual Power Plant (VPP)",https://arena.gov.au/projects/simply-energy-virtual-power-plant-vpp/,"Solar energy",$7.7m,$23.73m,"Simply Energy","Advancing Renewables Program",31/01/2018,"Adelaide, South Australia","GreenSync, SAPN, AEMO, Tesla, Flextronics",Current
"SA Strategic Regional Electric Vehicle Adoption Program",https://arena.gov.au/projects/south-australian-electric-vehicle-adoption/,"Electric vehicles",$172k,$349k,Evenergi,"Advancing Renewables Program",25/01/2018,"South Australia","SA Power Networks, Adelaide Council, South Australian Government, Australian Electric Vehicle Association",Past
"Solar Rooftop Electricity Retailer",https://arena.gov.au/projects/solar-rooftop-electricity-retailer/,"Solar energy",$775k,$1.71m,"DCP Company","Advancing Renewables Program",25/01/2018,Victoria,None,Past
"MSM Milling Biomass Fuel Switch Project",https://arena.gov.au/projects/msm-milling-biomass-fuel-switch/,"Bioenergy / Energy from waste",$2m,$5.38m,"MSM Milling","Advancing Renewables Program",24/01/2018,"Manildra, New South Wales","Ndevr Environmental",Past
"Musselroe Wind Farm FCAS Trial",https://arena.gov.au/projects/musselroe-wind-farm-fcas-trial/,"System security and reliability",$477k,$991k,"Musselroe Wind Farm Pty Ltd (Woolnorth Wind Farm Holding Pty Ltd)","Advancing Renewables Program",19/01/2018,"Tasmania, Woolnorth",None,Current
"Ballarat Energy Storage System (BESS)",https://arena.gov.au/projects/ballarat-energy-storage-system/,"Battery storage",$2.26m,$42.66m,"Spotless, Nuvo Group, AusNet Services","Advancing Renewables Program",16/01/2018,"Ballarat, Victoria","Victorian Government",Past
"Gannawarra Energy Storage System (GESS)",https://arena.gov.au/projects/gannawarra-energy-storage-system/,"Battery storage",$22.73m,$41.19m,"Edify Energy","Advancing Renewables Program",13/01/2018,"Gannawarra, Victoria","Victorian Government",Past
"Social Access Solar Gardens",https://arena.gov.au/projects/social-access-solar-gardens/,"Solar energy",$239k,$579k,"University of Technology Sydney","Advancing Renewables Program",01/01/2018,"New South Wales, Queensland, Victoria","NSW Government, Bendigo Sustainability Group, Blacktown Council, Brotherhood of St Laurence, Byron Shire Council, Community Owned Renewable Energy Mullumbimbi (COREM), Community Power Agency, Energy Queensland, Enova Community, Energy Institute for Sustainable Futures, University of Technology Sydney, Norton Rose Fullbright, Pingala, Powershop, Queensland Council of Social Services, Repower Shoalhaven, Shoalhaven Council, Swan Hill Shire Council",Past
"Next Generation Silicon Sub-Cells",https://arena.gov.au/projects/next-generation-silicon-sub-cells/,"Solar energy",$1.14m,$3.66m,"University of New South Wales","Advancing Renewables Program",16/12/2017,"New South Wales, Sydney",None,Current
"Monash University Building Integrated PV Study",https://arena.gov.au/projects/monash-university-building-integrated-pv-study/,"Solar energy",$744k,$2.34m,"Monash University","Research and Development",11/12/2017,Victoria,"Commonwealth Scientific and Industrial Research Organisation (CSIRO), CSR Viridian, GreatCell Solar Industries",Past
"Metallised Encapsulant for Silicon PV Modules",https://arena.gov.au/projects/metallised-encapsulant-silicon-pv-modules/,"Solar energy",$1.16m,$5.55m,"University of New South Wales","Advancing Renewables Program",06/12/2017,"New South Wales, Sydney",None,Current
"Advanced High-Efficiency Silicon Solar Cells",https://arena.gov.au/projects/advanced-high-efficiency-silicon-solar-cells/,"Solar energy",$2.01m,$6.63m,"University of New South Wales","Advancing Renewables Program",06/12/2017,"New South Wales, Sydney",None,Past
"Hydrogenated and Hybrid Heterojunction P-Type Silicon Solar Cells",https://arena.gov.au/projects/hydrogenated-hybrid-heterojunction-p-type-silicon-solar-cells/,"Solar energy",$1.73m,$7.51m,"University of New South Wales","Advancing Renewables Program",06/12/2017,"New South Wales, Sydney",None,Past
"Development of Novel Hydrogen Trapping Techniques",https://arena.gov.au/projects/development-of-novel-hydrogen-trapping-techniques/,"Solar energy",$1.96m,$9.23m,"University of New South Wales","Solar Research & Development",06/12/2017,"New South Wales, Sydney",None,Current
"Integrating Industrial Black Silicon",https://arena.gov.au/projects/integrating-industrial-black-silicon-high-efficiency-multicrystalline-solar-cells/,"Solar energy",$500k,$3.07m,"University of New South Wales","Advancing Renewables Program",06/12/2017,"New South Wales, Sydney",None,Past
"Improving World-Record Commercial High-Efficiency N-Type Solar Cells",https://arena.gov.au/projects/improving-world-record-commercial-high-efficiency-n-type-solar-cells/,"Solar energy",$1.78m,$7.82m,"University of New South Wales","Advancing Renewables Program",06/12/2017,"New South Wales, Sydney",None,Current
"Development of Beyond 20% Efficiency Kesterite (CZTSSe) Solar Cells",https://arena.gov.au/projects/development-of-kesterite-cztsse-solar-cells/,"Solar energy",$1.33m,$4.56m,"University of New South Wales","Advancing Renewables Program",06/12/2017,"New South Wales, Sydney",None,Current
"Accelerating Industrial Solar Cells",https://arena.gov.au/projects/accelerating-industrial-solar-cells-efficiency/,"Solar energy",$503k,$1.58m,"University of New South Wales","Advancing Renewables Program",06/12/2017,"New South Wales",None,Current
"Manufacturing of Printed Perovskite PV Modules",https://arena.gov.au/projects/printed-perovskite-pv-modules/,"Solar energy",$3.31m,$6.82m,CSIRO,"Research and Development",06/12/2017,Victoria,"Monash University, University of New South Wales, University of Cambridge",Past
"Tandem PV Micro Concentrator",https://arena.gov.au/projects/tandem-pv-micro-concentrator/,"Solar energy",$837k,$2.12m,"Australian National University (ANU)","Research and Development",05/12/2017,"Australian Capital Territory, Canberra","National Renewable Energy Laboratory&nbsp;(&#8203;NREL), Solar Energy Research Institute of Singapore (SERIS)",Past
"Advanced Silicon Solar Cells",https://arena.gov.au/projects/advanced-silicon-solar-cells/,"Solar energy",$1.11m,$4.01m,"Australian National University (ANU)","Solar Research & Development",01/12/2017,"Australian Capital Territory, Canberra","Jinko Solar",Past
"Next Generation Industrial Bifacial Silicon Solar Cells",https://arena.gov.au/projects/next-generation-industrial-bifacial-silicon-solar-cells-rnd015/,"Solar energy",$1.97m,$5.7m,"Australian National University (ANU)","Research and Development",01/12/2017,"Australian Capital Territory, Canberra","GCL System Integration Technology, Wavelabs Solar Metrology Systems GmbH",Past
"Development of Stable Electrodes for Perovskite Solar Cells",https://arena.gov.au/projects/development-stable-electrodes-perovskite-solar-cells/,"Solar energy",$936k,$2.5m,"Australian National University (ANU)","Research and Development",01/12/2017,"Australian Capital Territory, Canberra","Monash University",Past
"Monolithic Perovskite-Silicon Tandem Cells: Towards Commercial Reality",https://arena.gov.au/projects/monolithic-perovskite-silicon-tandem-cells/,"Solar energy",$672k,$2.61m,"Australian National University (ANU)","Research and Development",01/12/2017,"Australian Capital Territory, Canberra","Jinko Solar",Past
"Driving Increased Efficiency and Reliability in Silicon Photovoltaics",https://arena.gov.au/projects/driving-increased-efficiency-reliability-silicon-photovoltaics-ingots-modules/,"Solar energy",$2.39m,$9.15m,"Australian National University (ANU)","Solar Research & Development",01/12/2017,"Australian Capital Territory, Canberra","UNSW, BT Imaging, Jinko Solar, Fraunhofer Institute for Solar Energy Systems, National Renewable Energy Laboratory, Sinton Instruments, Norwegian Crystals, Topsil Global Wafers, MiaSole Hi-Tech Corp, Tesla",Current
"Hydrogenated Bifacial PERL Silicon PV Cells",https://arena.gov.au/projects/hydrogenated-bifacial-perl-silicon-pv-cells/,"Solar energy",$1.1m,$3.97m,"University of New South Wales","Advancing Renewables Program",01/12/2017,"New South Wales, Sydney",None,Current
"Efficient Adamantine Thin-Film on Silicon Tandem Cells",https://arena.gov.au/projects/efficient-adamantine-thin-film-on-silicon-tandem-cells/,"Solar energy",$3.18m,$9.82m,"University of New South Wales","Advancing Renewables Program",01/12/2017,"New South Wales, Sydney",None,Current
"Increasing Visibility of Distribution Networks",https://arena.gov.au/projects/increasing-visibility-of-distribution-networks/,"Solar energy",$1.19m,$2.78m,"University of Queensland","Advancing Renewables Program",01/12/2017,"Brisbane, Queensland","Queensland University of Technology, Australian Power Institute, Energy Networks Australia, Tasnetworks, United Energy, Energex Part of the Energy Queensland Group, Aurecon, Redback Technologies, Springfield City Group",Past
"Monash University Polymer PV Study",https://arena.gov.au/projects/monash-university-polymer-pv-study/,"Solar energy",$840k,$1.68m,"Monash University","Research and Development",01/12/2017,"Clayton, Victoria","Flinders University, Macquarie University",Past
"Perovskite Solar Cell Technology",https://arena.gov.au/projects/greatcell-solar-limited/,"Solar energy",$575k,$10.94m,"Greatcell Solar Limited","Advancing Renewables Program",01/12/2017,"New South Wales",None,Past
"Pooled Energy Demonstration Project",https://arena.gov.au/projects/pooled-energy-demonstration-project/,"Demand response",$2.5m,$5m,"Pooled Energy Pty Ltd., a 100% subsidiary of Pooled Energy","Advancing Renewables Program",01/12/2017,"New South Wales",None,Past
"Powershop Australia Demand Response Program",https://arena.gov.au/projects/powershop-australia-demand-response-program/,"Demand response",$1.11m,$1.3m,"Powershop Australia Pty Ltd","Advancing Renewables Program",01/12/2017,Victoria,None,Past
"Zen Ecosystems Demand Response",https://arena.gov.au/projects/zen-ecosystems-demand-response/,"Demand response",$1.87m,$5.48m,"Zen Ecosystems Pty Ltd.","Advancing Renewables Program",01/12/2017,"South Australia, Victoria",None,Past
"Flow Power Energy Under Control Demand Response",https://arena.gov.au/projects/flow-power-energy-under-control-demand-response/,"Demand response",$1.31m,$3.78m,"Progressive Green Pty Ltd Trading As Flow Power","Advancing Renewables Program",01/12/2017,"New South Wales",None,Past
"United Energy Distribution Demand Response",https://arena.gov.au/projects/united-energy-distribution-demand-response/,"Demand response",$5.76m,$6.61m,"United Energy Distribution Pty Ltd ","Advancing Renewables Program",01/12/2017,Victoria,None,Past
"Enel X Demand Response Project",https://arena.gov.au/projects/enel-x-demand-response-project/,"Demand response",$7.2m,$9m,"Enel X Australia Pty Ltd","Advancing Renewables Program",01/12/2017,"New South Wales, Victoria",None,Past
"AGL Demand Response",https://arena.gov.au/projects/agl-demand-response/,"Demand response",$2.62m,$10.44m,"AGL Energy Services Pty Ltd","Advancing Renewables Program",01/12/2017,"New South Wales",None,Past
"EnergyAustralia Demand Response Program",https://arena.gov.au/projects/energyaustralia-demand-response-program/,"Demand response",$8.36m,$29.24m,"EnergyAustralia Development Pty Ltd ","Advancing Renewables Program",01/12/2017,"New South Wales, South Australia, Victoria",None,Past
"Intercast and Forge Demand Response",https://arena.gov.au/projects/intercast-and-forge-demand-response/,"Demand response",$323k,$323k,"Intercast & Forge Pty Ltd","Advancing Renewables Program",01/12/2017,"South Australia",None,Past
"HIVVE Sustainable Modular Classrooms",https://arena.gov.au/projects/hivve-sustainable-modular-classrooms/,"Renewables in buildings",$334k,$702k,"Eastern Portable Buildings","Advancing Renewables Program",14/11/2017,"Holsworthy, New South Wales",None,Past
"Roadmap for CST Power Generation in Australia",https://arena.gov.au/projects/roadmap-for-cst-power-generation-in-australia/,"Concentrated solar thermal",$419k,$562k,"Jeanes Holland and Associates","Advancing Renewables Program",10/11/2017,"Brooks Bay, Tasmania",None,Past
"Kidston Stage Two Hydro-Solar Project Activities",https://arena.gov.au/projects/project-development-activities-kidston-stage-two-hydro-solar-project/,"Hydropower / Pumped Hydro Energy Storage",$5m,$13.3m,"Genex Power Limited","Advancing Renewables Program",01/11/2017,"Kidston, Queensland",None,Past
"Battery of the Nation - Future State NEM Analysis Stage 1",https://arena.gov.au/projects/battery-of-the-nation-future-state-nem-analysis/,"Hydropower / Pumped Hydro Energy Storage",$500k,$1m,"Hydro Tasmania","Advancing Renewables Program",01/11/2017,"Hobart, Tasmania",None,Past
"Horizon Power Business Model Pilot Phase 1",https://arena.gov.au/projects/horizon-power-business-model-pilot/,"Distributed energy resources",$1.9m,$7.07m,"Horizon Power","Advancing Renewables Program",30/10/2017,"Carnarvon, Western Australia","Murdoch University",Past
"Biocatalyst Optimisation & Deployment",https://arena.gov.au/projects/biocatalyst-optimisation-deployment-project-efficient-production-biofuels/,"Bioenergy / Energy from waste",$3.91m,$7.94m,Microbiogen,"Advancing Renewables Program",20/10/2017,"New South Wales",None,Past
"Snowy 2.0 Feasibility Study",https://arena.gov.au/projects/snowy-2-0-feasibility-study/,"Hydropower / Pumped Hydro Energy Storage",$8m,$29m,"Snowy Hydro","Research and Development",13/10/2017,"New South Wales",None,Past
"Kennedy Energy Park",https://arena.gov.au/projects/kennedy-energy-park/,"Hybrid technologies",$18m,$99.32m,"Windlab, Eurus Energy","Advancing Renewables Program",01/10/2017,"Kennedy, Queensland",CEFC,Current
"Renewable Energy and Load Management Phase 1",https://arena.gov.au/projects/renewable-energy-and-load-management-phase-1/,"System security and reliability",$293k,$457k,"Institute for Sustainable Futures","Advancing Renewables Program",19/09/2017,"Australian Capital Territory, New South Wales, Queensland, South Australia, Victoria",None,Past
"Medium-Scale Solar on Industrial Rooftops",https://arena.gov.au/projects/medium-scale-solar-on-industrial-rooftops/,"Renewables for industry",$225k,$900k,"EPC Technologies Pty Ltd","Advancing Renewables Program",01/09/2017,"Brisbane, Queensland",None,Past
"Battery of the Nation ' A Concept Study of Tasmanian Pumped Hydro Options",https://arena.gov.au/projects/battery-of-the-nation/,"Hydropower / Pumped Hydro Energy Storage",$300k,$601k,"Hydro-Electric Corporation","Advancing Renewables Program",28/08/2017,"Hobart, Tasmania",None,Past
"Moisture Content of Woody Biomass",https://arena.gov.au/projects/moisture-content-of-woody-biomass/,"Bioenergy / Energy from waste",$300k,$1.04m,"University of the Sunshine Coast","Advancing Renewables Program",04/08/2017,"Queensland, Sippy Downs",None,Past
"Energy Storage for Commercial Renewable Integration (ESCRI) Phase 2",https://arena.gov.au/projects/energy-storage-for-commercial-renewable-integration-escri-phase-2/,"Battery storage",$12m,$30m,"ElectraNet Pty Limited","Advancing Renewables Program",01/08/2017,"South Australia, Yorke Peninsula","AGL (as Greentricity Pty Limited), Advisian Pty Ltd",Past
"NOJA Power Intelligent Switchgear",https://arena.gov.au/projects/noja-power-intelligent-switchgear/,"Distributed energy resources",$5m,$19.98m,"NOJA Power Switchgear Pty. Ltd.","Advancing Renewables Program",28/07/2017,Queensland,"AEMO, AusNet Services, Energy Queensland, Deakin University, University of Queensland",Past
"Peak Demand Reduction Using Solar and Storage",https://arena.gov.au/projects/peak-demand-reduction-using-solar-storage/,"Battery storage",$450k,$1.23m,"United Energy Distribution Pty Ltd","Advancing Renewables Program",11/07/2017,Victoria,None,Past
"ECLIPS Container Roll Out Solar System (CROSS)",https://arena.gov.au/projects/eclips-container-roll-out-solar-system/,"Solar energy",$289k,$703k,ECLIPS,"Advancing Renewables Program",01/07/2017,"Australian Capital Territory",None,Past
"Battery of the Nation",https://arena.gov.au/projects/augmenting-tasmanian-hydropower-system/,"Hydropower / Pumped Hydro Energy Storage",$500k,$1m,"Hydro Tasmania","Advancing Renewables Program",01/07/2017,"Gordon, Tarraleah, Tasmania",None,Past
"Hornsdale Wind Farm Stage 2 FCAS Trial",https://arena.gov.au/projects/hornsdale-wind-farm-stage-2/,"System security and reliability",$271k,$571k,"Hornsdale Wind Farm 2 Pty Ltd","Advancing Renewables Program",01/07/2017,"Hornsdale, South Australia",None,Past
"Connecting the Power and Gas Grids",https://arena.gov.au/projects/connecting-the-power-and-gas-grids/,"Hydrogen energy",$5m,$12.21m,"AquaHydrex Pty Ltd","Advancing Renewables Program",01/07/2017,"South Australia",None,Past
"Tidal Energy in Australia",https://arena.gov.au/projects/tidal-energy-australia-assessing-resource-feasibility-australias-future-energy-mix/,"Ocean energy",$2.49m,$5.85m,"The University of Tasmania","Advancing Renewables Program",30/06/2017,Tasmania,"CSIRO, The University of Queensland",Past
"RayGen Resources PV Ultra Commercialisation Project",https://arena.gov.au/projects/raygen-resources-pv-ultra-commercialisation-project/,"Solar energy",$5.75m,$11.6m,"Raygen Resources Pty Ltd","Advancing Renewables Program",27/06/2017,"Melbourne, Newbridge, Victoria","Victorian Government Department of Environment, Land, Water and Planning",Past
"Comparison of Dispatchable Renewable Electricity Options",https://arena.gov.au/projects/dispatchable-renewable-electricity-options/,"Renewables for industry",$256k,$256k,"IT Power (Australia) Pty Ltd","Advancing Renewables Program",01/06/2017,"Australian Capital Territory, New South Wales, Queensland, South Australia, Tasmania, Victoria, Western Australia","ITK; Institute for Sustainable Futures (ISF)",Past
"Goulburn Bioenergy Project",https://arena.gov.au/projects/goulburn-bioenergy-project/,"Bioenergy / Energy from waste",$2.1m,$6.39m,"ReNu Energy Limited","Advancing Renewables Program",18/05/2017,"Goulburn, New South Wales",None,Past
"Darling Downs Solar Project",https://arena.gov.au/projects/darling-downs-solar-project/,"Large-scale solar",$20m,$194.8m,"APA Group","Advancing Renewables Program",01/05/2017,"Dalby, Queensland",None,Current
"EnergyAustralia South Australian (PHES) Feasibility Study",https://arena.gov.au/projects/energyaustralia-south-australian-pumped-hydro-energy-storage-phes-feasibility-study/,"Hydropower / Pumped Hydro Energy Storage",$453k,$1.02m,"Energy Australia Development Pty Ltd.","Advancing Renewables Program",27/04/2017,"South Australia","Arup Pty Ltd, Melbourne Energy Institute (MEI)",Past
"Australian Energy Storage Council Research and Report",https://arena.gov.au/projects/australian-energy-storage-council-research-and-report/,"Battery storage",$45k,$45k,"Smart Energy Council","Advancing Renewables Program",12/04/2017,"Australian Capital Territory, Chifley",None,Past
"Collinsville Solar Farm",https://arena.gov.au/projects/collinsville-solar-farm/,"Large-scale solar",$9.5m,$106.4m,"RATCH Australia Corporation Limited","Advancing Renewables Program",01/04/2017,"Collinsville, Queensland",None,Past
"White Rock Solar Farm, co-located with White Rock Wind Farm",https://arena.gov.au/projects/white-rock-solar-farm/,"Large-scale solar",$5.4m,$41m,"Goldwind Australia Pty Ltd","Advancing Renewables Program",01/04/2017,"Glen Innes, New South Wales","Agricultural Bank of China ",Past
"SunSHIFT Pre-Commercial Deployment",https://arena.gov.au/projects/sunshift-pre-commercial-deployment/,"Solar energy",$2.1m,$4.2m,"Laing O’Rourke","Advancing Renewables Program",01/04/2017,Queensland,None,Past
"Mt Piper Power Station Energy Recovery Feasibility",https://arena.gov.au/projects/mt-piper-power-station-energy-recovery-feasibility-study/,"Bioenergy / Energy from waste",$400k,$915k,"Re.Group, EnergyAustralia","Advancing Renewables Program",10/03/2017,"New South Wales",None,Past
"Feasibility Study for Integrated Community Waste to Energy",https://arena.gov.au/projects/feasibility-study-integrated-community-waste-energy-project-mt-alexander-shire/,"Bioenergy / Energy from waste",$146k,$341k,"Mt Alexander Waste to Energy","Advancing Renewables Program",01/03/2017,"Castlemaine, Victoria",None,Past
"Whitsunday Solar Farm",https://arena.gov.au/projects/whitsunday-solar-farm/,"Large-scale solar",$5.35m,$124.37m,"Edify Energy Pty Ltd","Advancing Renewables Program",01/03/2017,"Collinsville, Queensland","WIRCON Australia, HoldCo, GmbH",Past
"AGL Virtual Trial of Peer-to-Peer Energy Trading",https://arena.gov.au/projects/agl-virtual-trial-peer-to-peer-trading/,"Demand response",$120k,$279k,"AGL Energy Services Pty Ltd","Advancing Renewables Program",01/03/2017,Victoria,"IBM Australia, Marchment Hill Consulting",Past
"Decentralised Energy Exchange (deX)",https://arena.gov.au/projects/decentralised-energy-exchange-dex/,"Distributed energy resources",$450k,$983k,GreenSync,"Advancing Renewables Program",16/02/2017,"Mornington Peninsula, Victoria","United Energy Distribution Pty Limited, The Australian National University, Mojo Power, ACT Environment and Planning Directorate, DELWP (Victoria), ActewAGL Distribution",Past
"AGL Virtual Power Plant",https://arena.gov.au/projects/agl-virtual-power-plant/,"Distributed energy resources",$5.3m,$19.52m,"AGL Energy Limited","Advancing Renewables Program",13/02/2017,"Adelaide, South Australia",None,Current
"Adapting Renewable Energy Concepts to Irrigated Sugarcane Production",https://arena.gov.au/projects/irrigated-sugarcane-production-bundaberg/,"Solar energy",$443k,$980k,"Bundaberg Regional Irrigators Group","Advancing Renewables Program",10/02/2017,"Bundaberg, Queensland",None,Past
"Parkes Solar Farm",https://arena.gov.au/projects/parkes-solar-farm/,"Large-scale solar",$6.75m,$114.92m,Neoen,"Advancing Renewables Program",31/01/2017,"New South Wales, Parkes",None,Past
"Oakey Solar Farm",https://arena.gov.au/projects/oakey-solar-farm/,"Large-scale solar",$2.16m,$58.56m,"Canadian Solar (Australia) Pty Limited ","Advancing Renewables Program",01/01/2017,"Oakey, Queensland",None,Past
"Longreach Solar Farm",https://arena.gov.au/projects/longreach-solar-farm/,"Large-scale solar",$1.3m,$33.7m,"Canadian Solar (Australia) Pty Limited","Advancing Renewables Program",01/01/2017,"Longreach, Queensland",None,Past
"Solar Analytics: Monitoring for Better Energy Outcomes",https://arena.gov.au/projects/solar-analytics-monitoring-better-energy-outcomes/,"Solar energy",$2.14m,$9.76m,"Solar Analytics Pty Ltd","Advancing Renewables Program",23/12/2016,"New South Wales, Redfern","Australian PV Institute",Past
"Manildra Solar Farm",https://arena.gov.au/projects/manildra-solar-farm/,"Large-scale solar",$9.81m,$113.41m,"First Solar (Australia) Pty Ltd","Advancing Renewables Program",23/12/2016,"Manildra, New South Wales",None,Past
