Year,Name,"Award Category",Award,"Higher Education Institution","Partner (where applicable)",Discipline,"Project Title","ORCID ID"
2001,"Hanneke Ronnes","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Domestic Architecture of Polite Culture in Ireland, AD 1550-1650, and its International Context: A Study in Comparative Social Archaeology",
2001,"Heather S. Jones","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Political Mentalities and Wartime Incarceration: The Prisoner of War Experience in the First World War in Germany, Britain and France",
2001,"Helen Roche","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"A Study of Bronze Age Coarse Ware in Ireland",
2001,"Hilary Lennon","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Frank O'Connor 1930-1945",
2001,"Irene Strati ","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Historical Geographies of Dublin City Parks",
2001,"Isabelle Torrance","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Iphigenia in Tauris and Euripidean Tragedy",
2001,"Jacqueline Keating","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"Galway: The 'First Official' Cultural Capital of the West",
2001,"James Derek Barter","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Anglicising Ireland: The Effects of British Popular Culture on Irish Catholic Identity, 1849-79",
2001,"James Hurley","Early Career","Postgraduate Scholarship Programme","Mary Immaculate College, Limerick",,AHSS,"The Print Media & Democracy: A Case Study of Uganda",
2001,"James Monagle","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Producing Cities: Regime Analysis of the Discursive Regimes that Shape the Production of Space in Kilkenny and Ennis",
2001,"Jane Finucane ","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Propaganda and Preparation of the Public for Entry into the Thirty Days War",
2001,"Jason Harris","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Friendship Network of Abraham Ortelius",
2001,"Jason McHugh","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"Bishop Nicholas French of Ferns (1604-78): A Biography",
2001,"Jennifer Butler","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Neo-Pagan Ritual in Ireland as Cultural Process",
2001,"Jeremie Gilbert","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The Protection of the Environment, a New Challenge for International Human Rights Law?",
2001,"Jeremy Alexander Quartermain","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"A Study of 11th Century Byzantine Papal Relations with Particular Reference to the Joint Greek and Latin Monastic Communities Established in the West",
2001,"Joanna Day","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"A Study of the Plants Depicted in Bronze Age Aegean Iconography and an Examination of their Possible Roles and Uses in Minoan Society",
2001,"Joanne Keaveney","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Recombinative Generalisation and Reading",
2001,"Joanne McCarthy","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Experience of Disability: Discourses of Social Disablement",
2001,"John Cane","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Cheek by Jowl: Residential Relations and Community Identity in the Liberties",
2001,"John Dullea","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Parliament na bhFigheadoiri",
2001,"John Edwards Horgan","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"The Holocaust of the 1990s:Should United Nations Peacekeeping Failures lead to Questionable Peace-Enforcement by Partial Regional Security Forces such as NATO",
2001,"John G. Hill","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"Comparative Advantage in Traded Services: A Quantitative Analysis of Services Liberalisation in The Peoples' Republic of China",
2001,"John Martin Patton","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Elite Irish Catholic Families, 1820-80",
2001,"John McAleer","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Imperial Construction of Africa in the Colonial Landscape Imagery of Mid-Victorian Britain",
2001,"John O'Reilly","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"A Contemporary Approach to the Synthetic A Priori",
2001,"Jose Horta","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"A Changing Ireland: Geographical Images by Portuguese Consuls 1830-1925",
2001,"Joseph Cullen","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"International R&D Spillovers: An Examination of the Sources and Channels of Technology Diffusion across Countries",
2001,"Joseph McBrinn","Early Career","Postgraduate Scholarship Programme","National College of Art and Design",,AHSS,"Mural Painting in Dublin 1850-1950.",
2001,"Kenneth Murphy","Early Career","Postgraduate Scholarship Programme","Dublin City University",,AHSS,"Public Service Broadcasting and Communications Policy in the Digital Age: The Case of Ireland",
2001,"Kevin Curran","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"The Jacobean Marriage Masque: Cultural Anxiety and Problems of Representation",
2001,"Kevin Devine","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"A Definition and Explanation of the Irish Public's Views of Irish Neutrality in the Post-Cold War Era",
2001,"Kevin Murphy","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Hardware and Software Development of Real-Time Functional Imaging",
2001,"Kevin Ryan","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The Category of Social Exclusion: Culture, Identity, Ontology",
2001,"Kieran Rankin","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"The Evolution and Entrenchment of the Irish Border, 1911-1926: A Political Geography",
2001,"Laura McAvinue","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,STEM,"The Phantom Limb Phenomenon: Its Rehabilitation and Application to Brain Plasticity",
2001,"Liam Delaney","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"A Study of Willingness to Pay for Cultural Public Goods: Issues and Applications",
2001,"Lochlainn O'Tuairisg","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Agrarian Societies in Pre-Famine Ireland",
2001,"Loretta O'Sullivan","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Dublin Housing Market: Inflation Determinants and Policy Aspects",
2001,"Lorraine Boran","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Effects of Prism Adaptation on Postural Balance, Perceptual and Motor Difficulties following Right Hemisphere Stroke",
2001,"Maca Hourihane","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"International Humanitarian Law and Human Rights Law: Exploring Complimentarity",
2001,"Maire Aislinn Murray","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Unravelling the Processes Involved in Insight Problem - Solving",
2001,"Maire O'Broin","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"Vineta in the Baltic: The Motif of the Sunken City",
2001,"Margaret P. Curtis","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Provincial Government and Administration in Early Stuart Ireland",
2001,"Maria Jacinta Duffy","Early Career","Postgraduate Scholarship Programme","Dublin City University",,AHSS,"Between Memory and Forgetting: Narrative as a Mediation – In the Ethics of Peace (An Irish Case Study)",
2001,"Maria Pizzuti Roycroft","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Matter, the Maker and the Made. An Exploration of the Relationship Between the Artist and his Medium",
2001,"Marie Whelton ","Early Career","Postgraduate Scholarship Programme","St Patrick's College, Maynooth",,AHSS,"Apostrophe in Irish Poetry",
2001,"Marion Winters ","Early Career","Postgraduate Scholarship Programme","Dublin City University",,AHSS,"A Corpus-Based Investigation of Creativity in Source and Translated Texts",
2001,"Mark Maguire","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"On the Other side of the Hyphen: A Comparative Analysis of Identity in Vietnamese-Irish Children",
2001,"Mary Byrne","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The Development and Evaluation of a Mental Health Promotion Programme for Post-Primary Schools",
2001,"Mary Clarke","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Rehabilitation of Hemiplegia Using 'Virtual Reality'",
2001,"Mary Margaret Downey","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Castlecomer: The Wandsforde Estate and Local Society, 1830-1970",
2001,"Mary Paul Keane","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The Representation of Women in Militant Nationalism in Late-Twentieth-Century Ireland: Literature and Related Discourses",
2001,"Mary Pierse","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Rattling the Railings: George Moore's Creative Literary Resistance to Late – Victorian Society",
2001,"Mary T. Holden","Early Career","Postgraduate Scholarship Programme","Waterford Institute of Technology",,AHSS,"Modelling the Effect of Relationship Structure and Communication on the Development of E-Relationships in a Business-to-Business Context",
2001,"Matthew Treacy","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Politics of the Republican Movement, 1962-1969",
2001,"Maura Conway","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Back to the Future: Anarchy, Sovereignty and Global Terrorism",
2001,"Michael Murray","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Waste Management in Ireland: A Case Study on the Impact of Transnationalisation on Governance",
2001,"Michael O'Sullivan","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Where is the Ethics in Ethical Criticism?",
2001,"Michelle O'Sullivan","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"An Investigation into the Operation of Joint Labour Committees and their Relationship with Centralised Wage Agreements",
2001,"Neville Scarlett","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"A Comparative Study of Czech and Irish Nationalism – Literature and Theatre 1870-1920",
2001,"Niamh Flynn","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"An Examination of Karasek's Job Demand Control Model using Modified Measures of its Constructs",
2001,"Nicholas McMurry","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Le Due Passioni, A Study and Critical Edition of a Viennese Sepolcro",
2001,"Nicolaos Strapatsas","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The International Criminal Court: A New World Order?",
2001,"Olivia Antoinette Hurley","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Psychological Factors Associated with Injury Prevention and Injury Recovery in Professional Athletes",
2001,"Orla Doyle","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"A Regional Analysis of Voting Patterns in the Czech Republic",
2001,"Owen Whelan","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"A Study of E-Commerce Evaluation Techniques in Irish Indigenous Companies",
2001,"Padraig Kirwan","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Native Landscapes: Ecological Patterns in Native American Literature",
2001,"Patricia Gibson","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Translating Northern Irish Novels into French : the Position and Role of the Translator in the Conflict Situation",
2001,"Patrick Alan Murphy","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"How do Multinational Enterprises Allocate Jobs? Evidence from Firm Level Data",
2001,"Patrick Holden","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"E.U. Relations with North Africa since the Barcelona Convention",
2001,"Patrick Lonergan","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"Internationalisation and Regionalisation in Contemporary Irish Writing",
2001,"Paul O'Connor","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Sensibility & Romanticism: The Poetics of Modernity",
2001,"Paul Sullivan","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"The Experience of Artists making Art",
2001,"Peter J. Mulholland","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Holistic Healing and the spread of New Age Beliefs in Ireland",
2001,"Petra Aigner","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Discourses about Ethnic Minorities in Contemporary Upper Austria",
2001,"Ray Byrne","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Opiate-Related Deaths Investigated by the Dublin City and County Coroners Between 1998 and 2002",
2001,"Raymond Ryan","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Farmers, Agriculture and Politics in the Irish Free State Area, 1919-1936",
2001,"Rhoda Dullea","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Issues of Ethnicity in the Hungarian Music Tradition: The Role of the Roma in the Construction of National Identity",
2001,"Roseanne Schot","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The Hill of Uisneach in Archaeology and History",
2001,"Rosemarie Gilligan","Early Career","Postgraduate Scholarship Programme","Dublin City University",,AHSS,"Use/Consumption of Information and Consumption Technologies (ICTs) in Households in the West of Ireland",
2001,"Rosemary Mallon","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"A Comparative Study of the Treatment of the Hague Convention on International Child Abduction",
2001,"Ruth Connolly","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Subjectivity in the Writings of Mary Boyle Rich and Katherine Boyle Jones",
2001,"Ruth Egan","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Alternative Naturalist Theories to Functionalism in Philosophy of Mind",
2001,"Sara Hallahan","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"May 1968, The Year of the Barricades",
2001,"Sarah-Jane Fennell","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Media, Politics and Free Speech: A Comparative Study",
2001,"Sean-Pol Mac Carthaigh","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Portrait of a Mind: Maurice Moynihan and Irish Statehood",
2001,"Sharon O'Brien","Early Career","Postgraduate Scholarship Programme","Dublin City University",,AHSS,"Translatability in a Controlled Language Environment",
2001,"Sheila Dickinson","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Irish Women Artists: Leading Experimentalists and Challengers of Tradition, with Focus on Kathy Prendergast, Dorothy Cross, Alice Maher",
2001,"Sinead Murphy","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Historically–Effected Interpretation",
2001,"Siobhan Carney","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Micro-Enterprises and their External Institutional Environment",
2001,"Susan Burk","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"The Presence of Wollstonecraft in the Work of Mary Shelley",
2001,"Theresa Maguire","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"Adult Numeracy Tutor Education and Training: A Theory-based Approach to Programme Development",
2001,"Thomas Anthony O'Riordan","Early Career","Postgraduate Scholarship Programme",N/A,,AHSS,"Pre-Famine Famines: Harvest variability, dietary change and Subsistence crises in 18th century Ireland",
2001,"Thomas Feeney","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Sean MacEntee and the Development of Social Policy in Independent Ireland",
2001,"Thomas O'Brien","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"An Epistemological Exploration of the Treatment and Rehabilitation Process for Young Adult's Recovering from Heroin Addiction, while participating in the Crinan Youth Project, in the North-East Inner City of Dublin",
2001,"Tracy Warner","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Cead Mile Failte? Refugees and the Lower Working Class in Ireland",
2001,"Vera Orschel","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"Intellectual Exchanges between Ireland and Europe from the 7th to the 12th Centuries: Personalities and Places",
2001,"Victoria Firmo-Fontan","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"Peace-Building in Lebanon: Patriarchy and Social Discontent as Dynamics in a Developing Reconciliation Process",
2001,"William Murphy","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Irish Political Prisoners 1910-1945",
2001,"William Scobie","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"The Late Medieval Rondeau: Style, Register and Genre",
2002,"Ana Nunes","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"History and Identity in Contemporary African American Female Novels ",
2002,"Andrew Martin Tierney","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Building Identity: An Archaeology of Gaelic Irish Castles",
2002,"Anne Lavan","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Jimmy Gatz and Chappaquiddick",
2002,"Anne O'Reilly","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"A Social Study of the Experiences of Females Placed in the Industrial and Reformatory Schools System in Ireland in the period 1960-70",
2002,"Anthony Cullen","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The Concept of Internal Armed Conflict in International Humanitarian Law",
2002,"Barry Monahan","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Framing Irishness: the Abbey Theatre on Screen, 1930 – 1960”",
2002,"Barry Ryan","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"Implementing Police Reform in Transitional Societies",
2002,"Bernadette Sexton","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"An Analysis of the Interplay of Theory and Practice in American Foreign Policy during the Soviet invasion of Afghanistan 1979-89 ",
2002,"Biagio Tassone","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Edmund Husserl's Notion of Genuine Science: A Critical Analysis ",
2002,"Brendan O'Connell","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Our Elvysshe Crafte: Alchemy, Analoy and the Possibilities of Truth in Middle English  Literature",
2002,"Brian Conway","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Offshore Financial Centres in Europe: A comparative Geographical Analysis",
2002,"Brian Sheridan","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"An Historiographical Commentary on Book 18 of Diodorus Siculus ",
2002,"Brigid McKinney","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Traditional Singing within the Social Fabric of the Inishowen Peninsula",
2002,Caoilfhionn Gallagher,"Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"The Right to be Let Alone: The Constitutional Tort of Privacy in Irish Law",
2002,"Carol Fitzgerald","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"The Impact of Appropriability, Accountability and Associability Regiemes in the Irish Software Industry on the Creation of Innovation, Intellectual Capital and Improved Business Performance",
2002,"Catherine O'Conor","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"Wexford Protestant Women: An Examination of the Experience of Women within a Rural Community in Southern Ireland, 1923-63 ",
2002,"Catriona Ni Shiochain","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Edition of the Poetry of Maire Bhuí Ní Laoghaire",
2002,"Ciaran Crilly","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Sounding the Image: Colour-Music Theory and the Language of Modernism before the First World War",
2002,"Claire Finn","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Forecasting Occupational Labour Requirements in the Health Services",
2002,"Claire Healy","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"A Comparative Study of Irish and German Emigration to Argentina, 1810-1914",
2002,"Claudia Siebrecht","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Female Cultural Avant-garde during the First World War in Germany ",
2002,"Clementine Oliver","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The Aftermath of the September 11th Attacks on the USA: Does the Modification of Domestic Law Violate Due Process Standards and the Rights of the Accused to a Fair Trial? ",
2002,"Colette Darcy","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"Understanding Fair Treatment in Respect of Unfair Dismissal Decisions: A Procedural Justice Perspective",
2002,"Conor Kostick","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Crusades: or do et Confusio",
2002,"Damien French","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Deliberative Democracy and Deliberative Polling",
2002,"David Keane","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"The Inquest System in Northern Ireland: The Need for Reform",
2002,"Deirdre McFeeley","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Historical and Political Aspects of the Work of Dion Boucicault ",
2002,Deirdre Crowe,"Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Competitiveness, Innovation and Environmental Sustainability in Irish Manufacturing",
2002,"Edmund O'Riordan","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Lives of Munster's Upper and Middle Classes during the Great Famine 1845-50",
2002,"Edward O'Brien","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Aspects and Applications of Hamilton's Econometric Methodology",
2002,"Eileen Biggs","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"The Role of Monitoring Systems on Human Asset Specificity of Knowledge Workers: An Agency Perspective",
2002,"Eileen Forristal","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"The Sublime in Modernist Fiction:  Virginia Woolf",
2002,"Elaine Cullinan","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"Geography of the Survey: Socio-Political Significances for the Ordnance Survey Process in the Production of the Six Inch Series",
2002,"Enrico Terrinoni","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Joyce and the Occult",
2002,"Fiadhnait O'Keeffe  ","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Awareness Deficits and the Role of Attention in Clinical Populations with Frontal Lobe Abnormalities ",
2002,"Fidelma Bennet","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"The Moroccan Sahara : Women, Patriarchy and the Oulad Tidrarine",
2002,"Finbarr Brereton","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"An Economic Assessment of the Determinants of Quality of Life",
2002,Gearoid O'Cleircin,"Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Eagarthóireacht ar Chín lae Mhicíl Mhic Aodha Maille le Hanailís Teangeolaíochta, Sochtheangeolaíochta agus Antraipeolaícochta ",
2002,"Gearoidin De Buitleir","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Na Búitléaraigh agus Cultúr na Gaeilge",
2002,"Gerard Dowling","Early Career","Postgraduate Scholarship Programme","National University of Ireland, Galway",,AHSS,"An Examination of Large, Low-Lying Multivallate Enclosures in Ireland",
2002,"Grainne Kirwan","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"A Study of the Culture and Practices of Computer Criminals",
2002,"Harriett Thomsett","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"The Nature of the Literary Culture of Medieval Ireland: a Study Focusing on the Terminology of Literary Classification ",
2002,"Helen Hennessy","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"Improving Knowledge Dissemination with Social Network Analysis in Support of Organisational Competitiveness",
2002,"Honora Kelly","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"The Lack of Jurisprudence on Property Rights under the Irish Constitution with a Comparison on the Position in the United States",
2002,"Imogen McGrath","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Tobacco Regulation:  Advertising Bans & Litigation",
2002,"James Lyttleton","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"An Archaeological Analysis of Seventeenth-Century Settlement in the Irish Midlands",
2002,"Jennifer Curran","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Presence of Heidegger in the works of Bernhard and Bachmann",
2002,"Jennifer Kelly","Early Career","Postgraduate Scholarship Programme","Mary Immaculate College, Limerick",,AHSS,"An Outward Looking Community?: Ribbonism and Grass-Roots Mobilisation in Co. Leitrim, 1836-46",
2002,"Jessica Smyth","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Settlement Landscapes in Neolithic Ireland ",
2002,"John Hogan","Early Career","Postgraduate Scholarship Programme","Dublin City University",,AHSS,"Remoulding the Critical Junctures Approach : Understanding Change in Trade Union Influence Over Public Policy in Four Countries",
2002,"John O'Byrne","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"Networks and the Development of the Irish Biotechnology Sector ",
2002,"John O'Grady","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Beyond Immanence: The Doctrine of Grace as Radically Challenged by Buddhism and Thereby Newly Contextualised ",
2002,"John Shaun Nolan","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"French Language Policy and the Multilingual Challenge: A Study of Developments from 1992 to 1999 ",0000-0003-0082-8978
2002,"John-Paul Colgan","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Writing After the Superpowers: Post-Cold War Reflections in the Novels of John Updike, Philip Roth, and Don DeLillo",
2002,"Julie Meehan","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Children's Use of Imaginary Thinking in Considering Alternatives to Reality ",
2002,"Juliet Hewish","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Translocation and Transformation: A Study of the Translation and Transmission of Latin Hagiography written in Late Antiquity into Old English, Old Irish and Old Norse Prose ",
2002,"Karen Brennan","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"The Law of Infanticide",
2002,"Katherine O' Callaghan","Early Career","Postgraduate Scholarship Programme","University College Dublin",,AHSS,"Joyce and Music",
2002,"Kathleen Nix","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"The Feminist Voice in Popular Fiction and Drama By Munster Women Writers 1930-70",
2002,"Kenia Puig I Planella","Early Career","Postgraduate Scholarship Programme","Dublin City University",,AHSS,"The Acquisition of Spanish Temporal Features By English Speaking Learners of Spanish as a Second Language ",
2002,"Kevin Branigan","Early Career","Postgraduate Scholarship Programme","Maynooth University",,AHSS,"The Musicality of Beckett's Radio Plays",
2002,"Liam Lenihan","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"The Writings of James Barry",
2002,"Liam Weeks","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"An Explanation of the Phenomenon of the Political Independent in Ireland ",
2002,"Lorraine Bowman","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Terrorist Supporters and the Internet: An Exploration of Online 'Virtual' Terrorists Communities",
2002,"Margaret Mary O'Keeffe","Early Career","Postgraduate Scholarship Programme","University College Cork",,AHSS,"Reconfigurations of Class, Gender and State Interventionism Contemporary Society: Theorising the Direct Relationship between 'Marginalized' and 'Professional' Women in the Community and Voluntary Sector ",
2002,"Maria Escirbano","Early Career","Postgraduate Scholarship Programme","University of Limerick",,AHSS,"The Rhythm of a Struggle. Txalaparta and Basque Identity ",
2002,"Marianne Osborne","Early Career","Postgraduate Scholarship Programme","Dublin City University",,AHSS,"Dealing with Rogue States: A Case Study of Serbia",
2002,"Marion Lindemanns","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Multiple and Changing Roles of Organisational Justice during Planned Organisational Change ",
2002,"Martha Dalton","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"The Intonation of Three Irish Dialects",
2002,"Martina Anne Lawless","Early Career","Postgraduate Scholarship Programme","Trinity College Dublin",,AHSS,"Specialisation and the Evolution of Industry",
