"Projet.Code_Decision_ANR";"Projet.Date_debut";"Action.Edition";"Action.Titre.Francais";"Projet.Acronyme";"Projet.Titre.Francais";"Projet.Resume.Francais";"Projet.Aide_allouee"
"ANR-11-IDFI-0004";"2012-05-01";2011;"IDFI";"VPE";"Valorisation des Projets des Etudiants";"L’ECE Paris est une école d’ingénieurs post-bac habilitée par la CTI qui accueille chaque année plus de 2000 étudiants répartis sur un cursus de cinq années. Elle forme les étudiants aux applications des technologies numériques dans sept spécialités en cycle ingénieur : systèmes embarqués, systèmes d’informations, objets connectés, santé et technologie, énergie et environnement, transports et mobilité, ingénierie financière. Depuis plusieurs années déjà, l’ECE s’est engagée dans la pédagogie par projet qui demande aux étudiants d’effectuer des réalisations techniques en travaillant en équipe. Les projets s’effectuant à l’École concernent l’ensemble des promotions, s’étalent sur toute l’année académique, et comportent essentiellement : - le projet scientifique et technique en équipe (PSTE) en première et deuxième année de cycle préparatoire - le projet pluridisciplinaire en équipe (PPE) en deuxième année de cycle ingénieur - le projet de fin d’études (PFE) en troisième année de cycle ingénieur. En 2011, en constatant la grande richesse scientifique et technique des réalisations des étudiants, ainsi que le potentiel de créativité et d’innovation de ces derniers dans leur travail en mode projet, l’ECE a décidé de progresser encore dans cette pédagogie en mettant en œuvre le programme de Valorisation des Projets des Etudiants (VPE), reconnu dans le cadre de l’appel à projets IDEFI. L’année 2015-16 confirme le positionnement du programme VPE au cœur de la pédagogie de l’ECE Paris. En 2015-16, 149 projets portés par des équipes pluridisciplinaires en cycle ingénieur du cursus ont été développés. Les principaux faits nouveaux sur cette année ont été la poursuite du rapprochement avec des écoles de design et de commerce, la mise en service du FabLab au cœur des activités pédagogiques de l’École, la diffusion de l’ « esprit VPE » à toutes les promotions (du cycle L au cycle M) et l’accompagnement de l'entrepreneuriat étudiant avec l’intégration au PEPITE CréaJ IDF. Le modèle VPE est désormais suffisamment structuré pour que l’École diffuse ses bonnes pratiques en interne (pour tous les élèves mais aussi les professeurs et enseignants chercheurs) et en externe en privilégiant les collaborations avec des écoles proposant des profils d’élèves avec des formations complémentaires à celle proposée par une école d’ingénieur. L’objectif premier est toujours d’accompagner les élèves dans une projection métier au-delà du cadre scolaire : comprendre les attentes du monde socio-économique, les différentes cultures (design, production, marketing notamment) et être force de proposition en bonne connaissance de ces contextes.";1500000.0
"ANR-11-IDFI-0003";"2012-06-01";2011;"IDFI";"M-AN-IMAL";"Une santé-une médecine &amp; de l’animal à l’homme";"De par sa conception, MAN-IMAL a développé des formations interdisciplinaires et établi des connexions entre la communauté universitaire, les écoles de l’enseignement supérieur vétérinaire et agricole, les étudiants et le secteur privé. La formation de niveau master dispensée en anglais a permis d’ouvrir un recrutement mondial et d’introduire la multiculturalité dans la conduite du projet dans ses versants pédagogiques, docimologiques et administratifs. Ses deux lignes stratégiques ont été suivies malgré un léger retard dans les dépenses du fait de périodes de carence en personnel, non liée aux valeurs ou à la gestion du programme. La première reste la création d’une ingénierie pédagogique, avec une équipe d’appui aux EC-C avec trois dimensions piliers (la coordination en mode projet ; l’ingénierie pédagogique et la scénarisation ; l’infographisme-numérisation), innovante basée sur la construction de capsules pédagogiques TICE (95 finalisées au total depuis le début), homogènes afin de faciliter leur portabilité, qui en s’associant entre-elles et/ou à des modalités en présentiel (classe inversée, TP, gestion de projet, …) constituent une unité d’enseignement pour un public d’apprenants ciblés (env. 234 apprenants EC et 1743 apprenants étudiants impactés depuis début). Le contenu scientifique est co-apporté par une équipe pluridisciplinaire d’EC-C. Pour optimiser les moyens, leur conception doit permettre de capitaliser sur les fondamentaux, de faciliter la mise à niveau au regard de l’hétérogénéité des profils, de transmettre un message homogène à des apprenants pouvant partager un socle commun de connaissances. Un cap a été franchi, avec la validation des contrats de protection intellectuelle et la centralisation de toutes les productions indexées sur un serveur sécurisé, prêtes à être mutualisés avec des UNT telles que Unf3s. La deuxième est d’initier de nouvelles approches par l’exemple, en testant ces innovations (pour cette année : le coaching, l’« évaluation à 360° », e-learning comme outil de révision, mise à niveau) au sein du public complexe (multi- disciplinaire, -culturel et -âges) du master et d’accompagner la transformation pédagogique. MAN-IMAL a acquis dans ce domaine une expertise dans la création d'outils pédagogiques, la sensibilisation et la formation des enseignants (72 nouveaux formés ; co-direction d'évènements pédagogiques institutionnels). Ce savoir-faire de MAN-IMAL sera nécessaire dans la construction et l’accompagnement au changement de posture du chercheur et de l’enseignant-chercheur dans la formation pour « Excellence graduate research» et le projet NExT de I-site nantais, et est sollicité pour accompagner l’établissement porteur qui lance un grand chantier de révision totale des maquettes pédagogiques de ses deux formations, vétérinaire et ingénieur. Il le sera également au coeur de la réforme de nos pratiques d'enseignant et la diffusion des TICE testés chez les 4 partenaires.";4355620.0
"ANR-11-IDFI-0002";"2012-05-02";2011;"IDFI";"TIL";"Système interuniversitaire transdisciplinaire d'excellence";"Fort de son écosystème composé de 67 formations impliquant 20 universités et 5 organismes, en collaboration avec l'inter - idefi (Samseï) et avec l'inter UNT (UNIT, Aunège), couvrant 4 disciplines (Médecine, Pharmacie, Odontologie, Sport), en transdisciplinarité (SHS, Architecture, Mandataire judiciaire, Paysagisme) ainsi qu'à l'international (Colombie, Sénégal, Mexique, …), l'idefi TILdissémine une pédagogie de rupture et participe à la transformation pédagogique et numérique de l'enseignement supérieur. Pour rappel, TIL propose des formations numériques hybrides dans le domaine de la gérontologie, basées sur le principe de classe inversée avec un accompagnement personnalisé, à la fois pour un public de formation initiale et de formation continue ou tout au long de la vie. A ce jour, TIL a permis de former plus de 1500 étudiants et compte plus de 550 personnes impliquées dans l'idefi. TIL offre ainsi un démonstrateur duplicable à d'autres secteurs dans le domaine de la santé comme prévu dans les objectifs initiaux de l'idefi. Par son consortium, encore enrichi cette année par l'intégration de l'Université de Limoges et de l'APHP Groupe Hospitalier de la Pitié Salpêtrière Charles Foix, TIL fait bénéficier à ses apprenants de ses méthodes pédagogiques innovantes : tutorat personnalisé à distance, transdisciplinarité des formations, offre de formations courtes à destination des professionnels, évaluation par les pairs, dématérialisation des examens, modularité de la formation … A la suite des formations TIL, il est à noter une importante professionnalisation des apprenants : enrichissement et diversification des postes, accession aux postes d'encadrement, maintien à l'emploi initial avec une meilleure connaissance du secteur, poursuite d'études … Sur un plan international, des partenariats avec les universités telles que la Colombie et le Mexique permettent la création de cursus de formation spécifiques à la problématique de la longévité. Face à la transition démographique importante de ces pays, les formations TIL vont permettre d'augmenter la professionnalisation des personnels en santé dans les métiers de la longévité. La prolongation accordée par l'ANR, jusque fin 2019, va permettre d'ancrer les processus pédagogiques innovants de l'Idefi TIL au sein des universités et au profit des professionnels de santé.";4500000.0
"ANR-11-IDFI-0001";"2012-04-18";2011;"IDFI";"CPA SimUSanté";"Développement d'un Centre de Pédagogie Active - Simulation Avancée en Santé";"La période considérée permet de faire, pour la première fois, le point sur une année universitaire complète au sein du bâtiment dédié. Cette période a été marquée par l'appropriation des espaces par les enseignants, la tenue de nombreuses manifestations, la concrétisation de partenariats y compris financiers, l'intégration réussie dans l'écosystème local et le rayonnement national et international. Des objectifs atteints. SimUSanté a accueilli 12592 personnes et organisé des formations pour 8952 d’entre elles. Des temps de mutualisation commencent à être formalisés dès la formation initiale et les évaluations réalisées confortent cette volonté. La politique volontariste de formation de formateurs permet de compter sur plus de 150 personnes formées pour encadrer les actions pédagogiques. La progression du nombre de réalisations pédagogiques et le développement de la plateforme numérique sont des indicateurs objectifs du déploiement du projet. Une intégration réussie et un effet d’entraînement. Trois actions majeures témoignentde l’effet structurant de SimUSanté : implication de l’équipe de pilotage dans la construction du champ des sciences en « santé, sport et médicaments » pour le plan quinquennal de l’Université (AOF); pilotage du projet de structure fédérative de recherche ICONES ( institut collaboratif pour le numérique en santé) ; pilotage du projet EPIONE (espace partagé, innovant, ouvert, numérique et évolutif) déposé dans le cadre du NCU avec de nombreux partenaires institutionnels. SimUSanté est dorénavant totalement intégré dans l’écosystème. Membre fondateur du Cluster Le Bloc d’Amiens –métropole (labellisé réseaux thématiques French Tech Health Tech), partenaire du living-lab, collaborant avec le GCS-e-Santé, il est fréquemment sollicité dans le cadre de groupes de travail ou de manifestations (""Star-up Week-end"" santé). Le « P²S² : printemps pédagogique des sciences de la santé », organisé pour la première fois par l’IDEFI, a vocation à devenir un rendez-vous régulier pour les enseignants santé sur le plan national. Des axes de recherche en développement. En complément des travaux de recherche dans le domaine pédagogique, l’industrialisation de cabines sanitaires de SMUR et la poursuite du co-développement du robot Rosa en neurochirurgie notamment, confirment l’intérêt de la simulation en ergonomie du travail. Le don d’une cabine hélicoptère par la fondation Airbus à visée d’enseignement et de recherche sur ce thème témoigne de l’intérêt dans ce domaine. Les actions innovantes de pratiques simulées pour favoriser la mobilité professionnelle et la réinsertion de personnels fragilisés retiennent l’attention des directions de ressources humaines. « Apprendre ensemble ». Les actions engagées avec les patients (domaine de l’autisme SimUTED), les aidants et les citoyens (fête de la science), les projets nationaux facilitant le continuum avec le second degré attestent de la volonté de forte de transversalité du projet IDEFI.";8500000.0
"ANR-11-IDEX-0007";"2012-03-01";2011;"IDEX";"Avenir L.S.E.";"PROJET AVENIR LYON SAINT-ETIENNE";"";107034819.66
"ANR-11-IDEX-0006";"2012-03-01";2011;"IDEX";"PNM-HESAM";"Paris Nouveaux Mondes Hautes Etudes Sorbonne Arts et Métiers";"";35865745.0
"ANR-11-IDEX-0005";"2012-03-01";2011;"IDEX";"USPC";"Université Sorbonne Paris Cité";"";83617599.0
"ANR-11-IDEX-0004";"2012-03-01";2011;"IDEX";"SUPER";"Sorbonne Universités à Paris pour l'Enseignement et la Recherche";"";89108432.0
"ANR-11-IDEX-0003";"2012-03-01";2011;"IDEX";"IPS";"Idex Paris-Saclay";"";166599574.0
"ANR-11-IDEX-0002";"2013-04-01";2011;"IDEX";"UNITI";"Université Fédérale de Toulouse";"";56353926.0
"ANR-11-IDEX-0001";"2012-03-01";2011;"IDEX";"Amidex";"INITIATIVE D'EXCELLENCE AIX MARSEILLE UNIVERSITE";"";87785947.0
"ANR-11-EQPX-0041";"2012-07-01";2011;"EQPX";"UTEM";"Microscopie électronique ultrarapide en transmission";"After an extensive planning of the equipment and the restoration of the laboratory infrastructure, the ultrafast transmission electron microscope (UTEM) has been installed in 2014. In 2015, the microscope has been officially accepted and launched. A postdoc and a PhD student were recruited with support from this project. The tests and the optimization of the system in the stroboscopic mode, which is used for studying reversible transformations, took almost one year. After redesigning the optical periphery, a detailed characterization of the electron pulses was carried out. A time resolution of 1 ps, sub-nanometer spatial resolution, and an energy resolution down to 0.8 eV are obtained. However, tradeoffs between these specifications are necessary according to the study to be carried out. A detailed recipe for the adjustement of all system parameters for each technique of operation was established. In 2016, the single-shot setup, which is used for studying irreversible transformations, was designed and installed. The characterization of the electron pulses showed a time resolution down to a few nanoseconds and an energy resolution of 2-5 eV. The latter, needed for electron energy-loss spectroscopy (EELS), can be considered as a breakthrough since it is now shown that, despite contrary predictions, EELS with single nanosecond electron pulses is feasible. Furthermore, a beam deflector system was installed that allows millisecond recording with a continuous electron beam. The microscope is now ready to operate in all modes (stroboscopic pulses, single-shot, and continous beam). The project period 1 (tranche 1), although fiscally extended to the end of 2017, is finished. As part of the second period (tranche 2), scientific projects are now in progress on phase transformations in nanoparticles, photo-switchable hybrid systems, photostrictive materials, and nanomagnetism.";3300000.0
"ANR-11-EQPX-0040";"2012-04-01";2011;"EQPX";"RESIF-CORE";"Réseau sismologique et géodésique français : l'équipement fondamental";"RESIF a comme objectif de doter la France d’une instrumentation moderne pour l’étude géophysique de l’intérieur de la Terre et de l’aléa sismique. RESIF-CORE permet de transformer les moyens actuels en un instrument d’excellence de rang mondial. RESIF-CORE est constitué de 4 éléments : trois portent sur l’acquisition et l’installation d’instruments de mesure (sismologie, gravimétrie, géodésie), un porte sur la distribution des données. Le Consortium RESIF est en charge de la gestion de RESIF-CORE depuis février 2014 (~2 réunions/an du CODIR). Concernant le réseau sismologique, la réalisation de prototypes a permis de définir les modalités de construction des futures stations et les éléments techniques afférents. L’installation de capteurs en fond de forage et la conception d’armoires techniques avec une intelligence embarquée sont des éléments originaux du projet. Environ 80% des sites prévus dans RESIF-CORE ont été validés et 45% ont été construits. Les marchés pour les équipements sismologiques sont finalisés (déc 2016), et les premiers instruments ont été livrés (mars 2017). Le marché dédié à l’acquisition d’armoires techniques est en cours. L’essentiel des stations seront livrées d’ici fin 2018. Concernant l’instrumentation géodésique, les instruments ont été livrés (août 2016), et 60% sont installés. Les équipements restants, pour sites en zone montagneuse, seront installés dès que les conditions le permettront. Pour l’instrumentation gravimétrique, un gravimètre relatif et un supra-conducteur ont été acquis et sont en fonction. Le gravimètre quantique est en cours de développement et les tests effectués sur un premier prototype sont concluants. La livraison de sa version finale reste planifiée pour fin 2018. Le système d’information est passé en phase de pré exploitation: tous les services sont opérationnels et toutes les données de RESIF sont accessibles. Un important travail de consolidation et de durcissement des services est actuellement en cours.";9300000.0
"ANR-11-EQPX-0039";"2012-07-01";2011;"EQPX";"REFIMEVE+";"RESEAU FIBRE METROLOGIQUE A VOCATION EUROPEENNE +";"Le projet REFIMEVE+ « Réseau Fibré Métrologique à Vocation Européenne + » a pour but de distribuer sans dégradation de performance une fréquence optique ultra-précise par fibre optique dans une vingtaine de laboratoires français. Cette fréquence est élaborée au sein du laboratoire SYRTE de l’Observatoire de Paris. Ce projet s’appuie sur le réseau académique RENATER qui délivre l’internet haut débit sur l’ensemble du territoire. Des équipements optoélectroniques sont spécialement développés pour corriger en temps réel le bruit rapporté par l’environnement de ces fibres optiques sur le signal ultra-précis. Ce signal ultra-précis provient d’horloges à atomes froids qui sont parmi les plus précises au monde. Elles ont une précision de 17 chiffres significatifs. Grâce au projet REFIMEVE+, il est possible de transporter un tel signal sans perte d’information. De fait, les laboratoires connectés au réseau REFIMEVE+ disposent virtuellement de la même horloge que le SYRTE. Une expérience entre le SYRTE et le PTB en Allemagne connectés par une liaison de 1400km a démontré que leur deux horloges à Strontium fournissent des fréquences décalées de 2.10-15, soit environ 100 plus que leur précision. Ce décalage est expliqué par la relativité générale. Il traduit la différence d’altitude de 20 m entre les deux horloges. Ce résultat spectaculaire obtenu grâce à REFIMEVE+ a été classé parmi les 10 avancées scientifiques majeures de l’année 2016 par la revue La Recherche. Le défi de ce projet est d’assurer le transfert de savoir-faire à des industriels qui devront développer les équipements aux normes industrielles. 3 PME françaises sont en passe de relever ce défi. Les prototypes ont déjà été réalisés et validés par les scientifiques en conditions réelles sur la liaison Paris-Strasbourg. Le déploiement des équipements actuellement en construction devrait commencer en 2018 et les premiers laboratoires devraient pouvoir utiliser le signal métrologique à partir de la mi-2018.";6700000.0
"ANR-11-EQPX-0038";"2012-10-01";2011;"EQPX";"RE-CO-NAI";"Plateforme de REcherche sur les COhortes d'enfants suivis depuis la NAIssance";"Le projet RE-CO-NAI vise à constituer une plateforme de recherche sur les cohortes d’enfants suivis depuis la naissance pour pouvoir étudier de manière globale et multidisciplinaire les grands enjeux de la santé, du développement et de la socialisation des enfants. Cette infrastructure permet la collecte, le stockage et la mise à disposition de données. Deux cohortes d’enfants qui ont débuté en 2011 alimentent la plateforme : Elfe qui a inclus 18000 enfants nés après 33 semaines d’aménorrhée dans un échantillon aléatoire de maternités sur la France métropolitaine et Epipage2 qui suit 4800 enfants prématurés sur l’ensemble du territoire français. En 2016, des informations ont été collectées à l’école en moyenne section de maternelle grâce à la coopération des enseignants et de médecins de PMI sur un sous-groupe de 5000 enfants Elfe et des enfants des mêmes écoles. En 2016, 33 (22 pour la cohorte Elfe et 11 pour la cohorte Epipage 2) nouvelles demandes d’accès aux données ont été satisfaites pour les deux cohortes. Une demande concernant le risque potentiel de prématurité lié à des expositions professionnelles maternelles pendant la grossesse fera l’objet d’une analyse conjointe des deux cohortes et d’autres cohortes de naissance françaises. Les premières publications utilisant ces données ont été publiées. Elles concernent par exemple l’imprégnation des femmes et des nouveau-nés par une série de contaminants de l’environnement. Les résultats montrent une décroissance de la contamination pour des contaminants bien connus comme le plomb ou le mercure pour lesquels des mesures ont été prises mais une contamination fréquente pour d’autres contaminants comme certains pesticides ou les phtalates. Pour EPIPAGE, les publications ont concerné la prise en charge obstétricale et néonatale des enfants nés grands prématurés.";13000000.0
"ANR-11-EQPX-0037";"2012-06-01";2011;"EQPX";"REALCAT";"Plateforme intégREe AppLiquée au criblage haut débit de CATalyseurs pour les bioraffineries";"In the frame of the Investments for the Future Program (PIA) - EQUIPEX, the research project REALCAT has been awarded of 8.7 M€ funding from the French government, 700 k€ from the European Regional Development Fund (FEDER) and supported by the Fondation Initiatives of Ecole Centrale for the development of a unique platform in the world, dedicated to the development of catalysts for industrial biorefineries. Three laboratories, located on Lille University's campus have gathered their forces to design such a challenging project: UCCS (Unit of Catalysis and Solid State Chemistry), specialized in homogeneous and heterogeneous catalysis; the Institut Charles Viollette (ICV - USC INRA - EA 7394), specialized in biocatalysis and CRIStAL (Research center in Computer Science, Signal and Automatic Control of Lille), specialized in computer engineering, data treatment, bio-informatics, modeling and analysis of biologic systems. This offers to REALCAT a very strong scientific background in the field of high-throughput catalysis. In 2016 the REALCAT platform is a reality as it is fully operational. It consists of a high-throughput platform, unique in the world, devoted to innovation in heterogeneous, homogeneous catalysis and bio-catalysis as well as their combination under the ultra-efficient novel concept of “hybrid catalysis”. This integrated combination of skills and technologies enables high-level R&amp;D catalysis development programs on hot topics including environmental and economic issues. The versatility of the platform also offers the possibility to run projects in the field of materials development. REALCAT is the first platform in the world that intimately integrates skills and technologies in chemistry, biotechnology, mathematics, computer science and statistics. This constitutes the main added value of REALCAT, which represents the first worldwide implementation of the next generation laboratory in the field of catalysis.";8700000.0
"ANR-11-EQPX-0036";"2012-07-01";2011;"EQPX";"PLANEX";"Planète Expérimentation: simulation et analyse in-situ en conditions extrêmes";"PLANEX aims at developing a high pressure high temperature (HP-HT) experimental and analytical platform allowing to perform (1) in situ chemical, structural and isotopic analyses, on fluids (molten silicates and salts, hydrous fluids and gases) and (2) simulation of fluid transfer processes in geomaterials or their synthetic equivalents, with implications in various socio-economic fields, in particular, volcanic risk management, exploitation of geothermal and mineral ressources, the improvement of industrial processes involving silicate or salt melts and related fluids, the geological storage of energy and CO2. To reach this goal it gathers the expertises of 7 laboratories : ISTO (experiments on silicate liquids HP-HT), CEMHTI (HT in situ spectroscopies on silicate liquids and molten salts), LPC2E (gaz spectroscopy, isotopes), GREMI (X-ray flash source), CRPG (isotopic analyses via ion probe), BRGM (simulation of fluid transfers in reactive media), IRCP (molten salts and fuel cells) and I. Néel (transparent vessels). The new instruments consist of (1) a novel Griggs apparatus allow high precision deformation up to 3 Gpa, (2) an upgraded Paterson press devoted to deformation up to 0.3 Gpa, (3) hydrothermal vessels allowing simulation of reactive transfer of fluids in porous media with the monitoring of permeability and fluid chemistry, (4) electrochemical measurements on molten salts/carbonates, (5) one IHPV allowing sampling of fluids coupled to a high resolution laser spectrometer, (6) a Brillouin and Raman spectrometers coupled to a heating stage device for 2D mapping, (7) 3 transparent vessels coupled to IR, Raman and X-Ray spectroscopic devices. In addition PLANEX has upgraded the SIMS national facility and acquired a FEG-MEB, for chemical characterisation of run-products. Phase 1: equipements (1) to (6) are operational, while the transparent vessels (7) are in the final stage of installation. Phase 2 has started on equipements (1) to (4), and SIMS/FEG-MEB";5400000.0
"ANR-11-EQPX-0035";"2012-04-01";2011;"EQPX";"PHENOCAN";"Phenotypage pour le cancer";"Le projet PhenoCan (Phénotypage pour le Cancer – Phénotypage mutiparamétrique de l’organisme à la cellule) va permettre de lever deux verrous technologiques : 1. l’analyse cellulaire mutiparamétrique 2. Le suivi longitudinal de modèles précliniques de pathologies humaines (cancers, troubles métaboliques, pathologies inflammatoires,...). La mise en place du projet repose sur des plateformes existantes de la SFR Biosciences et de la SFR Santé dont l’équipement a été complété afin de pouvoir réaliser les analyses phénotypiques. La plateforme de phénotypage aisni créée est ouverte aux partenaires académiques et industriels. Depuis 2013, 2 équipements renforçant les plateformes de cytométrie ont été acquis. Ces équipements permettent de réaliser d’une part de l’imagerie en flux, d’autre part de la cytométrie de masse. Ils sont opérationnels depuis 2014 et sont largement utilisés par la communauté scientifique. Concernant le phénotypage organisme entier, les équipements suivants ont été installés et mis en service : un Vevo LAZR, un CT Scan Quantum, ainsi qu’un tomographe à Fluorescence, permettant de réaliser des suivis longitudinaux et des quantifications de tumeurs ainsi que des suivis de distribution de marqueurs dans l’organisme. D’autre part, un minispec, permettant la détermination de la masse corporelle chez le rongeur de façon non invasive, et sa répartition entre masse grasse et masse maigre, a été mis en service en mars 2015. L’année 2015 a été consacré à la formation et aux mises au point sur ces appareils et les premiers projets de type collaboratifs ont été réalisés. Enfin, deux équipements destinés à trier des cellules rares dans des échantillons complexes ont été acquis en 2016 : microdissection laser + Ellispot.";2700000.0
"ANR-11-EQPX-0034";"2012-09-01";2011;"EQPX";"PATRIMEX";"PATrimoines matériels : Réseau d'Instrumentation Multisites Expérimental";"Patrimex est un réseau socio-technique pour la caractérisation, la conservation et la restauration du patrimoine matériel sous toutes ses formes (monuments, statues, tableaux, manuscrits, archives, instruments anciens), rassemblant des outils d’étude utilisant les interactions ondes-matière. Sur le site de Neuville de l’UCP, de nouveaux outils laser seront développés pour répondre aux enjeux de caractérisation et de restauration du patrimoine matériel. Des versions embarquées dans une plate-forme mobile permettront au LRMH de faire des analyses sur site, pour tous les monuments historiques. La mise en place, dans le cadre d’IPANEMA, de la nouvelle ligne de lumière PUMA dédiée à l’étude des matériaux du patrimoine implantée au sein du prestigieux synchrotron SOLEIL fournit un contexte exceptionnel de recherche. Enfin, la plateforme Data H va permettre de gérer la masse de données scientifique générées par le projet et en assurer l’accessibilité aux professionnels ainsi qu’au grand public. Le versement des fonds de l’ANR est intervenu en mai 2013. Après la mise en place d’une procédure centralisée par l’UCP, plusieurs marchés d’acquisition ont été engagés. Les livraisons d’équipements significatifs sont maintenant intervenues sur l’ensemble des pôles du projet. Le Comité de Pilotage de Patrimex, directement rattaché au comité scientifique de la Fondation des sciences du patrimoine, permet d’accompagner le développement de l’EquipEx, la définition de ses modalités de fonctionnement, ses relations avec le LabEx Patrima mais aussi son ouverture sur le monde socioéconomique et à l'international.";6500000.0
"ANR-11-EQPX-0033";"2012-11-01";2011;"EQPX";"Oscillator IMP";"Plateforme de Mesure de l'Instabilité des Oscillateurs";"Time, and equivalently frequency, is the most precisely and accurately measured physical quantity. It is therefore obvious that it has a privilege role in science and technology. Scanning the applications, we notice that most of them rely on oscillators, and in turn on the measurement of small time intervals, while the absolute time and accuracy rely on a small number of primary clocks, with a boundary between hours and days. Having said that, the Oscillator IMP project targets at being the world-leader facility dedicated to the measurement of noise and short-term stability of oscillators and devices in the whole radio spectrum (from MHz to THz), including microwave photonics, widely available to Agencies, to Research Institutions and to Private Companies in the spirit of global competition and economy. The scope spans from routine measurements to the research on new oscillators, components, and measurement methods. Under the name LNE-LTFB, we are already the French reference laboratory for short-term stability and for phase noise associated to the LNE, and also listed in the Calibration and Measurement Capabilities (CMCs) published in the BIPM Key Comparison Database (KCDB). With Oscillator IMP, we aim at a significant step forward in sensitivity, accuracy and range, and also at upgrading the COFRAC accreditation (National accreditation). Besides, having three Hydrogen masers, three Cs-beam atomic standards, three cryogenic sapphire oscillators, common-view GPS and a TWSTFT microwave station, all installed and operational, our lab is the second ""time"" installation in France. Finally, we cooperate with other PIA projects, chiefly the EQUIPEX REFIMEVE+ and the LABEX FIRST-TF. As UTINAM the TF Dept of FEMTO-ST, we are two of the five founding partners or FIRST-TF. However independent, Oscillator IMP can be considered a major platform of FIRTST-TF. In turn, FIRST-TF is a major source of scientific guidelines for Oscillator IMP.";4200000.0
"ANR-11-EQPX-0032";"2012-09-01";2011;"EQPX";"ORTOLANG";"Outils et Ressources pour un Traitement Optimisé des LANGues";"ORTOLANG (Open Resources and Tools for Language: https://www.ortolang.fr) is a French infrastructure implemented in the framework of the “Programme d’Investissement d’Avenir” (PIA) funded by the “Investissements d’Avenir” French Government program. The main purpose of ORTOLANG is to offer a repository of linguistic data (corpora, lexicons, dictionaries, etc.) and tools on languages and their processing readily available and well-documented which: enable analysis research on analysis, modelling and automatic treatment of our language to reach the best international level by way of a real pooling of resources; ease the use and transfer of resources and tools created by public laboratories towards industrial partners, in particular towards SME which cannot often develop such resources and tools for language treatment due to the creation costs; promote the French language and local languages of France by sharing the knowledge acquired by public laboratories. The ORTOLANG platform is intended to be a mutualisation infrastructure for the management, long-term preservation and dissemination of language resources such as corpora, lexicons, terminologies and language processing tools. This project also aims to generalise and ensure the perpetuation of the efforts made by digital resources centres on language, CNRTL (CentredeRessourcesTextuellesetLexicales, www.cnrtl.fr) and the SLDR (Speech and Language Data Repository, http://sldr.org), setup by the CNRS. It has the ambition to be used as a French node and major support for France’s commitment within the CLARIN infrastructure (Common Language Resources and Technology Infrastructure: www.clarin.eu) of which we have been partners from the very beginning. It is also used as a technical language platform of written, oral language forms, to support the coordination actions of the TGIR HumaNum (http://www.huma-num.fr/).";2600000.0
"ANR-11-EQPX-0031";"2012-09-01";2011;"EQPX";"NANOIMAGESX";"Construction et exploitation d'une ligne de nanotomographie au synchrotron SOLEIL";"The first stage of the NanoImages-X project (tranche 1) was started on 01/09/2012, and is due to end on 28/02/2018. The project comprises the construction and initial operation (tranche 2) of the ANATOMIX beamline at Synchrotron SOLEIL (for micro- and nano- tomography experiments). Despite significant (and regrettable) delays to the project, caused by several unexpected technical challenges, the scope of the project remains unchanged and on track. Several innovative technical solutions have been put into place, for example in protecting the undulator magnetic sources from radiation damage, or in developing a TXM with extensible geometry and high precision goniometry. Construction of the beamline is well advanced. The U20 radiation source is fully operational, the five radioprotection hutches have been installed and tested, the beam transport path has been installed, tested and radiation shielded up to the first experimental hutch, and commissioning work completed for the double mirror optical system. The beamline has undergone all necessary radiation protection tests to routinely bring the white radiation beam to the first experimental hutch (170 m from the source position). Most major pieces of essential equipment have been ordered (for example the double crystal and double multilayer monochromators, and the rotation stages which will form the heart of the micro- and nano- tomographs). Expenditure has been committed on these items and delivery of is expected in summer / autumn. Work load associated with delivery and testing of multiple pieces of equipment during this period forms one of the remaining risks to the project timeline. To offset this risk, recruitment is underway for a third permanent scientific position, as well as a peak load assistant engineer for installation and commissioning. Current project planning, under quarterly review, indicates user operation early in 2018.";7600000.0
"ANR-11-EQPX-0030";"2012-04-01";2011;"EQPX";"MUSIC";"Plateforme multi-modale d'exploration en cardiologie";"L'EQUIPEX MUSIC est une plate-forme multimodale pour le développement de la compréhension et du traitement des maladies électriques du cœur. MUSIC fait partie d'un programme plus vaste: l'IHU LIRYC. Les deux projets sont menés sous l'IDEX de l'Université de Bordeaux. La première phase de MUSIC comprenait la construction du laboratoire et l'installation de tous les équipements. Il a été prolongé jusqu'au 31 janvier 2015. L'équipement a été installé à la fin de 2013, à l'exception du système Carto qui n'a été acquis qu'à la fin de 2014. 2014 a été la première année complète. Tous les équipements fonctionnent nominalement. Ce laboratoire a été utilisé pour traiter les patients et générer suffisamment de données pour créer un logiciel de traitement de différents types d'images. Ce logiciel est maintenant utilisé pour définir précisément l'anatomie et le substrat structurel et électrique pour mieux diagnostiquer et traiter les patients souffrant de différentes arythmies cardiaques. Cette initiative a été couronnée de succès et a entraîné la création d'un consortium de 17 centres dans le monde qui l'utilisent pour guider les procédures électrophysiologiques. En outre, le laboratoire est régulièrement utilisé à des fins d'enseignement et accueille 3 à 500 médecins et techniciens / ingénieurs de terrain par an.";3000000.0
